             0       2853.9353       0.0             13534.667       3312.0564       4450.0483       6576.9741       5418.4189       538.27563       1288.0413       6893.1885       7983.0894
            10         10981.5       5793.3442         24779.1       6811.5293       14206.644       4258.3584       288.78769       4893.7637       7795.7842          0.0          1473.7781
            20       5288.7456       295.02579       32340.076       6916.4785       9637.5947       7598.7085       7237.2656       0.0             6236.6299       7809.8486          0.0
            30       9615.5078       19203.297        38782.68       21714.021       12360.738       8013.7368       11328.087       1191.8325          0.0          6505.3472       3127.5835
            40       9229.4473       13547.344        38150.16       24635.938       10629.765       15238.016       13563.466       16339.504        6671.123       9832.4463       59.921761
            50       10235.119       3973.0115       33952.113       26757.604       13080.679       10828.184       11463.141       14646.276       3207.3474        5521.854       14502.669
            60       0.0             0.0             17692.27        6549.7671       5637.8242       17317.762       17885.146       5813.8799       5085.4653          0.0         9277.7354
            70       2579.2229       14320.123       18282.881       16758.492       13908.733       1227.2811       9604.2285       18151.748       1960.7435       711.64313         8148.71
            80       0.0             0.0             7640.6636       7589.1934       8091.0117       9970.7236       8929.7666       4477.3252       5438.4604       5107.6265           0.0
            90       1660.5525       15433.848       19886.336         13203.1       5543.4233       7221.9673       0.0             777.75165       1444.5802       12018.808          0.0
